Word,Happy,Stable,Introvert,Anxious,Depressed
d1,0.5658871121686375,0.39793491650803237,0.484609740145054,0.47206495285753114,0.19787034857469088
meditator,0.8585376431793643,0.715073750132815,0.5000591089468207,0.864533546124298,0.889642999923622
ㅤ,0.5047213878518522,0.052179530469941726,0.1261459575595969,0.19332732531348862,0.43434902098637984
の,0.7640080713981092,0.6053707956924455,0.28523920978935746,0.9081808503161077,0.9614842984626795
glen,0.6882827226461528,0.7663003386658382,0.9431528065351551,0.8514164539726166,0.7721975931951668
around,0.36688163159730225,0.32120121712854766,0.13089900565085633,0.2839995950076255,0.7998207353502322
comic,0.24086758790223262,0.00841229668361132,0.0012029861604707648,0.47700430046686737,0.5701945239262849
mate,0.9806598979458871,0.9748718480699756,0.7991620220583726,0.9673205219516079,0.8923084373424615
pandemic,0.9516636586287586,0.938415932118877,0.7595761505192387,0.9751424150712298,0.8534505263680885
barca,0.8948593410813617,0.8236050629999254,0.8502007183635183,0.8068631409810967,0.7776239824267066
